Time(s), Shift_Y(pixels)
4.1000, 0.095106
4.1333, 0.099452
4.1667, 0.086603
4.2000, 0.058779
4.2333, 0.020791
4.2667, -0.020791
4.3000, -0.058779
4.3333, -0.086603
4.3667, -0.099452
4.4000, -0.095106
4.4333, -0.074314
4.4667, -0.040674
4.5000, -0.000000
4.5333, 0.040674
4.5667, 0.074314
4.6000, 0.095106
4.6333, 0.099452
4.6667, 0.086603
4.7000, 0.058779
4.7333, 0.020791
4.7667, -0.020791
4.8000, -0.058779
4.8333, -0.086603
4.8667, -0.099452
4.9000, -0.095106
4.9333, -0.074314
4.9667, -0.040674
5.0000, -0.000000
5.0333, 0.040674
5.0667, 0.074314
5.1000, 0.095106
5.1333, 0.099452
5.1667, 0.086603
5.2000, 0.058779
5.2333, 0.020791
5.2667, -0.020791
5.3000, -0.058779
5.3333, -0.086603
5.3667, -0.099452
5.4000, -0.095106
5.4333, -0.074314
5.4667, -0.040674
5.5000, -0.000000
5.5333, 0.040674
5.5667, 0.074314
5.6000, 0.095106
5.6333, 0.099452
5.6667, 0.086603
5.7000, 0.058779
5.7333, 0.020791
5.7667, -0.020791
5.8000, -0.058779
5.8333, -0.086603
5.8667, -0.099452
5.9000, -0.095106
5.9333, -0.074314
5.9667, -0.040674
6.0000, -0.000000
6.0333, 0.040674
6.0667, 0.074314
6.1000, 0.095106
6.1333, 0.099452
6.1667, 0.086603
6.2000, 0.058779
6.2333, 0.020791
6.2667, -0.020791
6.3000, -0.058779
6.3333, -0.086603
6.3667, -0.099452
6.4000, -0.095106
6.4333, -0.074314
6.4667, -0.040674
6.5000, 0.000000
6.5333, 0.040674
6.5667, 0.074314
6.6000, 0.095106
6.6333, 0.099452
6.6667, 0.086603
6.7000, 0.058779
6.7333, 0.020791
6.7667, -0.020791
6.8000, -0.058779
6.8333, -0.086603
6.8667, -0.099452
6.9000, -0.095106
6.9333, -0.074314
6.9667, -0.040674
7.0000, -0.000000
7.0333, 0.040674
7.0667, 0.074314
7.1000, 0.095106
7.1333, 0.099452
7.1667, 0.086603
7.2000, 0.058779
7.2333, 0.020791
7.2667, -0.020791
7.3000, -0.058779
7.3333, -0.086603
7.3667, -0.099452
7.4000, -0.095106
7.4333, -0.074314
7.4667, -0.040674
7.5000, -0.000000
7.5333, 0.040674
7.5667, 0.074314
7.6000, 0.095106
7.6333, 0.099452
7.6667, 0.086603
7.7000, 0.058779
7.7333, 0.020791
7.7667, -0.020791
7.8000, -0.058779
7.8333, -0.086603
7.8667, -0.099452
7.9000, -0.095106
7.9333, -0.074314
7.9667, -0.040674
8.0000, -0.000000
8.0333, 0.040674
8.0667, 0.074314
8.1000, 0.095106
8.1333, 0.099452
8.1667, 0.086603
8.2000, 0.058779
8.2333, 0.020791
8.2667, -0.020791
8.3000, -0.058779
8.3333, -0.086603
8.3667, -0.099452
8.4000, -0.095106
8.4333, -0.074314
8.4667, -0.040674
8.5000, 0.000000
8.5333, 0.040674
8.5667, 0.074314
8.6000, 0.095106
8.6333, 0.099452
8.6667, 0.086603
8.7000, 0.058779
8.7333, 0.020791
8.7667, -0.020791
8.8000, -0.058779
8.8333, -0.086603
8.8667, -0.099452
8.9000, -0.095106
8.9333, -0.074314
8.9667, -0.040674
9.0000, -0.000000
9.0333, 0.040674
9.0667, 0.074314
9.1000, 0.095106
9.1333, 0.099452
9.1667, 0.086603
9.2000, 0.058779
9.2333, 0.020791
9.2667, -0.020791
9.3000, -0.058779
9.3333, -0.086603
9.3667, -0.099452
9.4000, -0.095106
9.4333, -0.074314
9.4667, -0.040674
9.5000, -0.000000
9.5333, 0.040674
9.5667, 0.074314
9.6000, 0.095106
9.6333, 0.099452
9.6667, 0.086603
9.7000, 0.058779
9.7333, 0.020791
9.7667, -0.020791
9.8000, -0.058779
9.8333, -0.086603
9.8667, -0.099452
9.9000, -0.095106
9.9333, -0.074314
9.9667, -0.040674
10.0000, -0.000000
10.0333, 0.040674
10.0667, 0.074314
10.1000, 0.095106
10.1333, 0.099452
10.1667, 0.086603
10.2000, 0.058779
10.2333, 0.020791
10.2667, -0.020791
10.3000, -0.058779
10.3333, -0.086603
10.3667, -0.099452
10.4000, -0.095106
10.4333, -0.074314
10.4667, -0.040674
10.5000, 0.000000
10.5333, 0.040674
10.5667, 0.074314
10.6000, 0.095106
10.6333, 0.099452
10.6667, 0.086603
10.7000, 0.058779
10.7333, 0.020791
10.7667, -0.020791
10.8000, -0.058779
10.8333, -0.086603
10.8667, -0.099452
10.9000, -0.095106
10.9333, -0.074314
10.9667, -0.040674
11.0000, -0.000000
11.0333, 0.040674
11.0667, 0.074314
11.1000, 0.095106
11.1333, 0.099452
11.1667, 0.086603
11.2000, 0.058779
11.2333, 0.020791
11.2667, -0.020791
11.3000, -0.058779
11.3333, -0.086603
11.3667, -0.099452
11.4000, -0.095106
11.4333, -0.074314
11.4667, -0.040674
11.5000, -0.000000
11.5333, 0.040674
11.5667, 0.074314
11.6000, 0.095106
11.6333, 0.099452
11.6667, 0.086603
11.7000, 0.058779
11.7333, 0.020791
11.7667, -0.020791
11.8000, -0.058779
11.8333, -0.086603
11.8667, -0.099452
11.9000, -0.095106
11.9333, -0.074314
11.9667, -0.040674
12.0000, -0.000000
12.0333, 0.040674
12.0667, 0.074314
12.1000, 0.095106
12.1333, 0.099452
12.1667, 0.086603
12.2000, 0.058779
12.2333, 0.020791
12.2667, -0.020791
12.3000, -0.058779
12.3333, -0.086603
12.3667, -0.099452
12.4000, -0.095106
12.4333, -0.074314
12.4667, -0.040674
12.5000, 0.000000
12.5333, 0.040674
12.5667, 0.074314
12.6000, 0.095106
12.6333, 0.099452
12.6667, 0.086603
12.7000, 0.058779
12.7333, 0.020791
12.7667, -0.020791
12.8000, -0.058779
12.8333, -0.086603
12.8667, -0.099452
12.9000, -0.095106
12.9333, -0.074314
12.9667, -0.040674
13.0000, 0.000000
13.0333, 0.040674
13.0667, 0.074314
13.1000, 0.095106
13.1333, 0.099452
13.1667, 0.086603
13.2000, 0.058779
13.2333, 0.020791
13.2667, -0.020791
13.3000, -0.058779
13.3333, -0.086603
13.3667, -0.099452
13.4000, -0.095106
13.4333, -0.074314
13.4667, -0.040674
13.5000, -0.000000
13.5333, 0.040674
13.5667, 0.074314
13.6000, 0.095106
13.6333, 0.099452
13.6667, 0.086603
13.7000, 0.058779
13.7333, 0.020791
13.7667, -0.020791
13.8000, -0.058779
13.8333, -0.086603
13.8667, -0.099452
13.9000, -0.095106
13.9333, -0.074314
13.9667, -0.040674
14.0000, -0.000000
14.0333, 0.040674
14.0667, 0.074314
14.1000, 0.095106
14.1333, 0.099452
14.1667, 0.086603
14.2000, 0.058779
14.2333, 0.020791
14.2667, -0.020791
14.3000, -0.058779
14.3333, -0.086603
14.3667, -0.099452
14.4000, -0.095106
14.4333, -0.074314
14.4667, -0.040674
14.5000, 0.000000
14.5333, 0.040674
14.5667, 0.074314
14.6000, 0.095106
14.6333, 0.099452
14.6667, 0.086603
14.7000, 0.058779
14.7333, 0.020791
14.7667, -0.020791
14.8000, -0.058779
14.8333, -0.086603
14.8667, -0.099452
14.9000, -0.095106
14.9333, -0.074314
14.9667, -0.040674
15.0000, -0.000000
15.0333, 0.040674
15.0667, 0.074314
15.1000, 0.095106
15.1333, 0.099452
15.1667, 0.086603
15.2000, 0.058779
15.2333, 0.020791
15.2667, -0.020791
15.3000, -0.058779
15.3333, -0.086603
15.3667, -0.099452
15.4000, -0.095106
15.4333, -0.074314
15.4667, -0.040674
15.5000, -0.000000
15.5333, 0.040674
15.5667, 0.074314
15.6000, 0.095106
15.6333, 0.099452
15.6667, 0.086603
15.7000, 0.058779
15.7333, 0.020791
15.7667, -0.020791
15.8000, -0.058779
15.8333, -0.086603
15.8667, -0.099452
15.9000, -0.095106
15.9333, -0.074314
15.9667, -0.040674
16.0000, -0.000000
16.0333, 0.040674
16.0667, 0.074314
16.1000, 0.095106
16.1333, 0.099452
16.1667, 0.086603
16.2000, 0.058779
16.2333, 0.020791
16.2667, -0.020791
16.3000, -0.058779
16.3333, -0.086603
16.3667, -0.099452
16.4000, -0.095106
16.4333, -0.074314
16.4667, -0.040674
16.5000, -0.000000
16.5333, 0.040674
16.5667, 0.074314
16.6000, 0.095106
16.6333, 0.099452
16.6667, 0.086603
16.7000, 0.058779
16.7333, 0.020791
16.7667, -0.020791
16.8000, -0.058779
16.8333, -0.086603
16.8667, -0.099452
16.9000, -0.095106
16.9333, -0.074314
16.9667, -0.040674
17.0000, 0.000000
17.0333, 0.040674
17.0667, 0.074314
17.1000, 0.095106
17.1333, 0.099452
17.1667, 0.086603
17.2000, 0.058779
17.2333, 0.020791
17.2667, -0.020791
17.3000, -0.058779
17.3333, -0.086603
17.3667, -0.099452
17.4000, -0.095106
17.4333, -0.074314
17.4667, -0.040674
17.5000, -0.000000
17.5333, 0.040674
17.5667, 0.074314
17.6000, 0.095106
17.6333, 0.099452
17.6667, 0.086603
17.7000, 0.058779
17.7333, 0.020791
17.7667, -0.020791
17.8000, -0.058779
17.8333, -0.086603
17.8667, -0.099452
17.9000, -0.095106
17.9333, -0.074314
17.9667, -0.040674
18.0000, -0.000000
18.0333, 0.040674
18.0667, 0.074314
18.1000, 0.095106
18.1333, 0.099452
18.1667, 0.086603
18.2000, 0.058779
18.2333, 0.020791
18.2667, -0.020791
18.3000, -0.058779
18.3333, -0.086603
18.3667, -0.099452
18.4000, -0.095106
18.4333, -0.074314
18.4667, -0.040674
18.5000, -0.000000
18.5333, 0.040674
18.5667, 0.074314
18.6000, 0.095106
18.6333, 0.099452
18.6667, 0.086603
18.7000, 0.058779
18.7333, 0.020791
18.7667, -0.020791
18.8000, -0.058779
18.8333, -0.086603
18.8667, -0.099452
18.9000, -0.095106
18.9333, -0.074314
18.9667, -0.040674
19.0000, -0.000000
19.0333, 0.040674
19.0667, 0.074314
19.1000, 0.095106
19.1333, 0.099452
19.1667, 0.086603
19.2000, 0.058779
19.2333, 0.020791
19.2667, -0.020791
19.3000, -0.058779
19.3333, -0.086603
19.3667, -0.099452
19.4000, -0.095106
19.4333, -0.074314
19.4667, -0.040674
19.5000, -0.000000
19.5333, 0.040674
19.5667, 0.074314
19.6000, 0.095106
19.6333, 0.099452
19.6667, 0.086603
19.7000, 0.058779
19.7333, 0.020791
19.7667, -0.020791
19.8000, -0.058779
19.8333, -0.086603
19.8667, -0.099452
19.9000, -0.095106
19.9333, -0.074314
19.9667, -0.040674
20.0000, -0.000000
20.0333, 0.040674
20.0667, 0.074314
20.1000, 0.095106
20.1333, 0.099452
20.1667, 0.086603
20.2000, 0.058779
20.2333, 0.020791
20.2667, -0.020791
20.3000, -0.058779
20.3333, -0.086603
20.3667, -0.099452
20.4000, -0.095106
20.4333, -0.074314
20.4667, -0.040674
20.5000, -0.000000
20.5333, 0.040674
20.5667, 0.074314
20.6000, 0.095106
20.6333, 0.099452
20.6667, 0.086603
20.7000, 0.058779
20.7333, 0.020791
20.7667, -0.020791
20.8000, -0.058779
20.8333, -0.086603
20.8667, -0.099452
20.9000, -0.095106
20.9333, -0.074314
20.9667, -0.040674
21.0000, 0.000000
21.0333, 0.040674
21.0667, 0.074314
21.1000, 0.095106
21.1333, 0.099452
21.1667, 0.086603
21.2000, 0.058779
21.2333, 0.020791
21.2667, -0.020791
21.3000, -0.058779
21.3333, -0.086603
21.3667, -0.099452
21.4000, -0.095106
21.4333, -0.074314
21.4667, -0.040674
21.5000, -0.000000
21.5333, 0.040674
21.5667, 0.074314
21.6000, 0.095106
21.6333, 0.099452
21.6667, 0.086603
21.7000, 0.058779
21.7333, 0.020791
21.7667, -0.020791
21.8000, -0.058779
21.8333, -0.086603
21.8667, -0.099452
21.9000, -0.095106
21.9333, -0.074314
21.9667, -0.040674
22.0000, -0.000000
22.0333, 0.040674
22.0667, 0.074314
22.1000, 0.095106
22.1333, 0.099452
22.1667, 0.086603
22.2000, 0.058779
22.2333, 0.020791
22.2667, -0.020791
22.3000, -0.058779
22.3333, -0.086603
22.3667, -0.099452
22.4000, -0.095106
22.4333, -0.074314
22.4667, -0.040674
22.5000, -0.000000
22.5333, 0.040674
22.5667, 0.074314
22.6000, 0.095106
22.6333, 0.099452
22.6667, 0.086603
22.7000, 0.058779
22.7333, 0.020791
22.7667, -0.020791
22.8000, -0.058779
22.8333, -0.086603
22.8667, -0.099452
22.9000, -0.095106
22.9333, -0.074314
22.9667, -0.040674
23.0000, -0.000000
23.0333, 0.040674
23.0667, 0.074314
23.1000, 0.095106
23.1333, 0.099452
23.1667, 0.086603
23.2000, 0.058779
23.2333, 0.020791
23.2667, -0.020791
23.3000, -0.058779
23.3333, -0.086603
23.3667, -0.099452
23.4000, -0.095106
23.4333, -0.074314
23.4667, -0.040674
23.5000, 0.000000
23.5333, 0.040674
23.5667, 0.074314
23.6000, 0.095106
23.6333, 0.099452
23.6667, 0.086603
23.7000, 0.058779
23.7333, 0.020791
23.7667, -0.020791
23.8000, -0.058779
23.8333, -0.086603
23.8667, -0.099452
23.9000, -0.095106
23.9333, -0.074314
23.9667, -0.040674
24.0000, -0.000000
24.0333, 0.040674
24.0667, 0.074314
24.1000, 0.095106
24.1333, 0.099452
24.1667, 0.086603
24.2000, 0.058779
24.2333, 0.020791
24.2667, -0.020791
24.3000, -0.058779
24.3333, -0.086603
24.3667, -0.099452
24.4000, -0.095106
24.4333, -0.074314
24.4667, -0.040674
24.5000, -0.000000
24.5333, 0.040674
24.5667, 0.074314
24.6000, 0.095106
24.6333, 0.099452
24.6667, 0.086603
24.7000, 0.058779
24.7333, 0.020791
24.7667, -0.020791
24.8000, -0.058779
24.8333, -0.086603
24.8667, -0.099452
24.9000, -0.095106
24.9333, -0.074314
24.9667, -0.040674
25.0000, 0.000000
25.0333, 0.040674
25.0667, 0.074314
25.1000, 0.095106
25.1333, 0.099452
25.1667, 0.086603
25.2000, 0.058779
25.2333, 0.020791
25.2667, -0.020791
25.3000, -0.058779
25.3333, -0.086603
25.3667, -0.099452
25.4000, -0.095106
25.4333, -0.074314
25.4667, -0.040674
25.5000, -0.000000
25.5333, 0.040674
25.5667, 0.074314
25.6000, 0.095106
25.6333, 0.099452
25.6667, 0.086603
25.7000, 0.058779
25.7333, 0.020791
25.7667, -0.020791
25.8000, -0.058779
25.8333, -0.086603
25.8667, -0.099452
25.9000, -0.095106
25.9333, -0.074314
25.9667, -0.040674
26.0000, 0.000000
26.0333, 0.040674
26.0667, 0.074314
26.1000, 0.095106
26.1333, 0.099452
26.1667, 0.086603
26.2000, 0.058779
26.2333, 0.020791
26.2667, -0.020791
26.3000, -0.058779
26.3333, -0.086603
26.3667, -0.099452
26.4000, -0.095106
26.4333, -0.074314
26.4667, -0.040674
26.5000, -0.000000
26.5333, 0.040674
26.5667, 0.074314
26.6000, 0.095106
26.6333, 0.099452
26.6667, 0.086603
26.7000, 0.058779
26.7333, 0.020791
26.7667, -0.020791
26.8000, -0.058779
26.8333, -0.086603
26.8667, -0.099452
26.9000, -0.095106
26.9333, -0.074314
26.9667, -0.040674
27.0000, -0.000000
27.0333, 0.040674
27.0667, 0.074314
27.1000, 0.095106
27.1333, 0.099452
27.1667, 0.086603
27.2000, 0.058779
27.2333, 0.020791
27.2667, -0.020791
27.3000, -0.058779
27.3333, -0.086603
27.3667, -0.099452
27.4000, -0.095106
27.4333, -0.074314
27.4667, -0.040674
27.5000, 0.000000
27.5333, 0.040674
27.5667, 0.074314
27.6000, 0.095106
27.6333, 0.099452
27.6667, 0.086603
27.7000, 0.058779
27.7333, 0.020791
27.7667, -0.020791
27.8000, -0.058779
27.8333, -0.086603
27.8667, -0.099452
27.9000, -0.095106
27.9333, -0.074314
27.9667, -0.040674
28.0000, -0.000000
28.0333, 0.040674
28.0667, 0.074314
28.1000, 0.095106
28.1333, 0.099452
28.1667, 0.086603
28.2000, 0.058779
28.2333, 0.020791
28.2667, -0.020791
28.3000, -0.058779
28.3333, -0.086603
28.3667, -0.099452
28.4000, -0.095106
28.4333, -0.074314
28.4667, -0.040674
28.5000, -0.000000
28.5333, 0.040674
28.5667, 0.074314
28.6000, 0.095106
28.6333, 0.099452
28.6667, 0.086603
28.7000, 0.058779
28.7333, 0.020791
28.7667, -0.020791
28.8000, -0.058779
28.8333, -0.086603
28.8667, -0.099452
28.9000, -0.095106
28.9333, -0.074314
28.9667, -0.040674
29.0000, 0.000000
29.0333, 0.040674
29.0667, 0.074314
29.1000, 0.095106
29.1333, 0.099452
29.1667, 0.086603
29.2000, 0.058779
29.2333, 0.020791
29.2667, -0.020791
29.3000, -0.058779
29.3333, -0.086603
29.3667, -0.099452
29.4000, -0.095106
29.4333, -0.074314
29.4667, -0.040674
29.5000, -0.000000
29.5333, 0.040674
29.5667, 0.074314
29.6000, 0.095106
29.6333, 0.099452
29.6667, 0.086603
29.7000, 0.058779
29.7333, 0.020791
29.7667, -0.020791
29.8000, -0.058779
29.8333, -0.086603
29.8667, -0.099452
29.9000, -0.095106
29.9333, -0.074314
29.9667, -0.040674
30.0000, -0.000000
30.0333, 0.040674
30.0667, 0.074314
30.1000, 0.095106
30.1333, 0.099452
30.1667, 0.086603
30.2000, 0.058779
30.2333, 0.020791
30.2667, -0.020791
30.3000, -0.058779
30.3333, -0.086603
30.3667, -0.099452
30.4000, -0.095106
30.4333, -0.074314
30.4667, -0.040674
30.5000, -0.000000
30.5333, 0.040674
30.5667, 0.074314
30.6000, 0.095106
30.6333, 0.099452
30.6667, 0.086603
30.7000, 0.058779
30.7333, 0.020791
30.7667, -0.020791
30.8000, -0.058779
30.8333, -0.086603
30.8667, -0.099452
30.9000, -0.095106
30.9333, -0.074314
30.9667, -0.040674
31.0000, -0.000000
31.0333, 0.040674
31.0667, 0.074314
31.1000, 0.095106
31.1333, 0.099452
31.1667, 0.086603
31.2000, 0.058779
31.2333, 0.020791
31.2667, -0.020791
31.3000, -0.058779
31.3333, -0.086603
31.3667, -0.099452
31.4000, -0.095106
31.4333, -0.074314
31.4667, -0.040674
31.5000, 0.000000
31.5333, 0.040674
31.5667, 0.074314
31.6000, 0.095106
31.6333, 0.099452
31.6667, 0.086603
31.7000, 0.058779
31.7333, 0.020791
31.7667, -0.020791
31.8000, -0.058779
31.8333, -0.086603
31.8667, -0.099452
31.9000, -0.095106
31.9333, -0.074314
31.9667, -0.040674
32.0000, -0.000000
32.0333, 0.040674
32.0667, 0.074314
32.1000, 0.095106
32.1333, 0.099452
32.1667, 0.086603
32.2000, 0.058779
32.2333, 0.020791
32.2667, -0.020791
32.3000, -0.058779
32.3333, -0.086603
32.3667, -0.099452
32.4000, -0.095106
32.4333, -0.074314
32.4667, -0.040674
32.5000, -0.000000
32.5333, 0.040674
32.5667, 0.074314
32.6000, 0.095106
32.6333, 0.099452
32.6667, 0.086603
32.7000, 0.058779
32.7333, 0.020791
32.7667, -0.020791
32.8000, -0.058779
32.8333, -0.086603
32.8667, -0.099452
32.9000, -0.095106
32.9333, -0.074314
32.9667, -0.040674
33.0000, -0.000000
33.0333, 0.040674
33.0667, 0.074314
33.1000, 0.095106
33.1333, 0.099452
33.1667, 0.086603
33.2000, 0.058779
33.2333, 0.020791
33.2667, -0.020791
33.3000, -0.058779
33.3333, -0.086603
33.3667, -0.099452
33.4000, -0.095106
33.4333, -0.074314
33.4667, -0.040674
33.5000, -0.000000
33.5333, 0.040674
33.5667, 0.074314
33.6000, 0.095106
33.6333, 0.099452
33.6667, 0.086603
33.7000, 0.058779
33.7333, 0.020791
33.7667, -0.020791
33.8000, -0.058779
33.8333, -0.086603
33.8667, -0.099452
33.9000, -0.095106
33.9333, -0.074314
33.9667, -0.040674
34.0000, 0.000000
34.0333, 0.040674
34.0667, 0.074314
34.1000, 0.095106
34.1333, 0.099452
34.1667, 0.086603
34.2000, 0.058779
34.2333, 0.020791
34.2667, -0.020791
34.3000, -0.058779
34.3333, -0.086603
34.3667, -0.099452
34.4000, -0.095106
34.4333, -0.074314
34.4667, -0.040674
34.5000, -0.000000
34.5333, 0.040674
34.5667, 0.074314
34.6000, 0.095106
34.6333, 0.099452
34.6667, 0.086603
34.7000, 0.058779
34.7333, 0.020791
34.7667, -0.020791
34.8000, -0.058779
34.8333, -0.086603
34.8667, -0.099452
34.9000, -0.095106
34.9333, -0.074314
34.9667, -0.040674
35.0000, -0.000000
35.0333, 0.040674
35.0667, 0.074314
35.1000, 0.095106
35.1333, 0.099452
35.1667, 0.086603
35.2000, 0.058779
35.2333, 0.020791
35.2667, -0.020791
35.3000, -0.058779
35.3333, -0.086603
35.3667, -0.099452
35.4000, -0.095106
35.4333, -0.074314
35.4667, -0.040674
35.5000, 0.000000
35.5333, 0.040674
35.5667, 0.074314
35.6000, 0.095106
35.6333, 0.099452
35.6667, 0.086603
35.7000, 0.058779
35.7333, 0.020791
35.7667, -0.020791
35.8000, -0.058779
35.8333, -0.086603
35.8667, -0.099452
35.9000, -0.095106
35.9333, -0.074314
35.9667, -0.040674
36.0000, -0.000000
36.0333, 0.040674
36.0667, 0.074314
36.1000, 0.095106
36.1333, 0.099452
36.1667, 0.086603
36.2000, 0.058779
36.2333, 0.020791
36.2667, -0.020791
36.3000, -0.058779
36.3333, -0.086603
36.3667, -0.099452
36.4000, -0.095106
36.4333, -0.074314
36.4667, -0.040674
36.5000, -0.000000
36.5333, 0.040674
36.5667, 0.074314
36.6000, 0.095106
36.6333, 0.099452
36.6667, 0.086603
36.7000, 0.058779
36.7333, 0.020791
36.7667, -0.020791
36.8000, -0.058779
36.8333, -0.086603
36.8667, -0.099452
36.9000, -0.095106
36.9333, -0.074314
36.9667, -0.040674
37.0000, -0.000000
37.0333, 0.040674
37.0667, 0.074314
37.1000, 0.095106
37.1333, 0.099452
37.1667, 0.086603
37.2000, 0.058779
37.2333, 0.020791
37.2667, -0.020791
37.3000, -0.058779
37.3333, -0.086603
37.3667, -0.099452
37.4000, -0.095106
37.4333, -0.074314
37.4667, -0.040674
37.5000, -0.000000
37.5333, 0.040674
37.5667, 0.074314
37.6000, 0.095106
37.6333, 0.099452
37.6667, 0.086603
37.7000, 0.058779
37.7333, 0.020791
37.7667, -0.020791
37.8000, -0.058779
37.8333, -0.086603
37.8667, -0.099452
37.9000, -0.095106
37.9333, -0.074314
37.9667, -0.040674
38.0000, -0.000000
38.0333, 0.040674
38.0667, 0.074314
38.1000, 0.095106
38.1333, 0.099452
38.1667, 0.086603
38.2000, 0.058779
38.2333, 0.020791
38.2667, -0.020791
38.3000, -0.058779
38.3333, -0.086603
38.3667, -0.099452
38.4000, -0.095106
38.4333, -0.074314
38.4667, -0.040674
38.5000, -0.000000
38.5333, 0.040674
38.5667, 0.074314
38.6000, 0.095106
38.6333, 0.099452
38.6667, 0.086603
38.7000, 0.058779
38.7333, 0.020791
38.7667, -0.020791
38.8000, -0.058779
38.8333, -0.086603
38.8667, -0.099452
38.9000, -0.095106
38.9333, -0.074314
38.9667, -0.040674
39.0000, -0.000000
39.0333, 0.040674
39.0667, 0.074314
39.1000, 0.095106
39.1333, 0.099452
39.1667, 0.086603
39.2000, 0.058779
39.2333, 0.020791
39.2667, -0.020791
39.3000, -0.058779
39.3333, -0.086603
39.3667, -0.099452
39.4000, -0.095106
39.4333, -0.074314
39.4667, -0.040674
39.5000, 0.000000
39.5333, 0.040674
39.5667, 0.074314
39.6000, 0.095106
39.6333, 0.099452
39.6667, 0.086603
39.7000, 0.058779
39.7333, 0.020791
39.7667, -0.020791
39.8000, -0.058779
39.8333, -0.086603
39.8667, -0.099452
39.9000, -0.095106
39.9333, -0.074314
39.9667, -0.040674
40.0000, -0.000000
40.0333, 0.040674
40.0667, 0.074314
40.1000, 0.095106
40.1333, 0.099452
40.1667, 0.086603
40.2000, 0.058779
40.2333, 0.020791
40.2667, -0.020791
40.3000, -0.058779
40.3333, -0.086603
40.3667, -0.099452
40.4000, -0.095106
40.4333, -0.074314
40.4667, -0.040674
40.5000, -0.000000
40.5333, 0.040674
40.5667, 0.074314
40.6000, 0.095106
40.6333, 0.099452
40.6667, 0.086603
40.7000, 0.058779
40.7333, 0.020791
40.7667, -0.020791
40.8000, -0.058779
40.8333, -0.086603
40.8667, -0.099452
40.9000, -0.095106
40.9333, -0.074314
40.9667, -0.040674
41.0000, -0.000000
41.0333, 0.040674
41.0667, 0.074314
41.1000, 0.095106
41.1333, 0.099452
41.1667, 0.086603
41.2000, 0.058779
41.2333, 0.020791
41.2667, -0.020791
41.3000, -0.058779
41.3333, -0.086603
41.3667, -0.099452
41.4000, -0.095106
41.4333, -0.074314
41.4667, -0.040674
41.5000, 0.000000
41.5333, 0.040674
41.5667, 0.074314
41.6000, 0.095106
41.6333, 0.099452
41.6667, 0.086603
41.7000, 0.058779
41.7333, 0.020791
41.7667, -0.020791
41.8000, -0.058779
41.8333, -0.086603
41.8667, -0.099452
41.9000, -0.095106
41.9333, -0.074314
41.9667, -0.040674
42.0000, 0.000000
42.0333, 0.040674
42.0667, 0.074314
42.1000, 0.095106
42.1333, 0.099452
42.1667, 0.086603
42.2000, 0.058779
42.2333, 0.020791
42.2667, -0.020791
